"item","text","reverse","camel"
1,"I preferred to stay home than to go to a party.",FALSE,"socialAloofness"
2,"I felt that my work must be flawless.",FALSE,"perfectionism"
3,"I saw things that were not really there.",FALSE,"realityDistortion"
4,"I was embarrassed because I pulled my hair.",FALSE,"trichotillomania"
5,"I avoided foods because I did not like their appearance",FALSE,"foodSelectivity"
6,"I felt dizzy or lightheaded.",FALSE,"panic"
7,"I believed it was fine to tell a little lie in order to get out of trouble.",FALSE,"dishonesty"
8,"Most people were just out for themselves.",FALSE,"mistrust"
9,"My home was so cluttered that it was difficult to get around.",FALSE,"hoarding"
10,"I had pains in several parts of my body.",FALSE,"bodilyDistress"
11,"I felt down and discouraged.",FALSE,"distressDysphoria"
12,"I was uncomfortable meeting new people.",FALSE,"socialAnxiety"
13,"I was unable to resist the impulse to gamble.",FALSE,"gambling"
14,"I found it easy to manipulate others.",FALSE,"dishonesty"
15,"I made decisions quickly without thinking them through.",FALSE,"nonPlanfulness"
16,"I spent a lot of time looking at myself.",FALSE,"bodyFocus"
17,"It was difficult for me to touch something that was dirty.",FALSE,"cleaning"
18,"I refused to budge as a matter of principle, even on small matters.",FALSE,"rigidity"
19,"Life felt too short to follow other peoples' rules.",FALSE,"oppositionality"
20,"I blamed myself for things.",FALSE,"distressDysphoria"
21,"I was very suspicious of other people.",FALSE,"mistrust"
22,"I was very cautious about taking risks.",FALSE,"riskAversion"
23,"I felt sexually inadequate.",FALSE,"sexualDistress"
24,"I hardly showed any feelings.",FALSE,"restrictedAffectivity"
25,"Most people would have liked to be like me.",FALSE,"grandiosity"
26,"I got so angry that I yelled or screamed.",FALSE,"emotionality"
27,"I felt little desire for sexual activity",FALSE,"lowSexualInterest"
28,"I avoided performing or giving a talk in front of others.",FALSE,"socialAnxiety"
29,"It was hard to stop gambling once I started.",FALSE,"gambling"
30,"I was bothered by stomach symptoms (diarrhea, nausea, stomach pain etc.)",FALSE,"bodilyDistress"
31,"I taunted others.",FALSE,"socialAggression"
32,"I felt restless when I had to sit still for more than ten minutes.",FALSE,"restlessness"
33,"I had trouble falling asleep.",FALSE,"insomnia"
34,"Some people thought I was uncaring and unfeeling.",FALSE,"callousness"
35,"I was the dominant person in my relationships.",FALSE,"domineering"
36,"I bought much more than I needed.",FALSE,"problematicShopping"
37,"I felt an urge to pull my hair.",FALSE,"trichotillomania"
38,"I wished I lived in my fantasies instead of real life.",FALSE,"fantasyProneness"
39,"My sexual fantasies strained my relationships.",FALSE,"paraphilias"
40,"I did something spontaneous that I later regretted.",FALSE,"nonPlanfulness"
41,"I worked on a plan to kill myself.",FALSE,"suicidality"
42,"I felt that I did not want to be in a close relationship.",FALSE,"romanticDisinterest"
43,"I wished I could change certain parts of my body.",FALSE,"bodyDissatisfaction"
44,"I felt motivated.",FALSE,"wellBeing"
45,"When I had the chance, I chose to be alone rather than with other people.",FALSE,"socialAloofness"
46,"I felt an urge to hurt myself (cut, burn, bite, etc.).",FALSE,"nssi"
47,"I worried a lot about my health.",FALSE,"healthAnxiety"
48,"Others noticed that I was unusually excited or up.",FALSE,"manicEnergy"
49,"People told me that I was being inappropriate.",FALSE,"eccentricity"
50,"I was unhappy about my sexual performance.",FALSE,"sexualDistress"
51,"I experienced strange sights or sounds.",FALSE,"realityDistortion"
52,"I liked having power.",FALSE,"domineering"
53,"I had trouble remembering things.",FALSE,"cognitiveProblems"
54,"I used sex to relieve negative feelings (e.g., anxiety, sadness, anger).",FALSE,"riskySex"
55,"Interacting with others was not very important to me.",FALSE,"socialAloofness"
56,"I quit tasks that became too challenging.",FALSE,"nonPersistence"
57,"I allowed people to take advantage of me.",FALSE,"submissiveness"
58,"I was selfish.",FALSE,"entitlement"
59,"I liked being the person who has the authority.",FALSE,"domineering"
60,"I needed to count to a certain number before starting an activity.",FALSE,"counting"
61,"I was fearful of rats or mice.",FALSE,"specificPhobiaIndex"
62,"I continued to do things the same way, even though my approach clearly wasn't working.",FALSE,"rigidity"
63,"I expected to get treated better than others.",FALSE,"entitlement"
64,"I didn't get excited about very much.",FALSE,"distressDysphoria"
65,"People told me that I was a very picky eater.",FALSE,"foodSelectivity"
66,"I was afraid that I would have a panic attack in a small, tight, or enclosed space.",FALSE,"agoraphobia"
67,"I couldn't stop comparing my body to those of others.",FALSE,"bodyDissatisfaction"
68,"I stole from someone I knew without their knowledge.",FALSE,"antisocialBehavior"
69,"I had difficulty making eye contact with others.",FALSE,"socialAnxiety"
70,"I had to cancel plans in order to get my exercise in.",FALSE,"excessiveExercise"
71,"I had little or no interest in sexual activity.",FALSE,"lowSexualInterest"
72,"It was very important for me to take the lead.",FALSE,"domineering"
73,"My skin picking created problems for me.",FALSE,"excoriation"
74,"I was so focused on being productive that I had less time for friends and family.",FALSE,"workaholism"
75,"I lied about myself to other people.",FALSE,"dishonesty"
76,"I had a dream so distressing that it continued to affect me after waking.",FALSE,"nightmares"
77,"I was much more talkative than usual.",FALSE,"manicEnergy"
78,"I used medicines or supplements to bulk up.",FALSE,"muscleBuilding"
79,"If I passed by a reflective surface (like a window), I checked how I looked.",FALSE,"bodyFocus"
80,"My imagination held my attention for hours.",FALSE,"fantasyProneness"
81,"I was prone to daydreaming.",FALSE,"fantasyProneness"
82,"I was unable to reach orgasm.",FALSE,"difficultiesReachingOrgasm"
83,"I skipped two meals in a row.",FALSE,"restrictedEating"
84,"My desire for things to be flawless kept me from getting everything done.",FALSE,"perfectionism"
85,"I was very confident in myself around other people.",FALSE,"grandiosity"
86,"I did not feel like spending time with people.",FALSE,"socialAloofness"
87,"I was unable to control when I reached orgasm.",FALSE,"prematureOrgasm"
88,"I became disinterested in tasks easily.",FALSE,"nonPersistence"
89,"I felt cheerful.",FALSE,"wellBeing"
90,"I got anxious when others were watching me.",FALSE,"socialAnxiety"
91,"I thought I was the only one chosen by God for a special role.",FALSE,"realityDistortion"
92,"I exercised when I was injured.",FALSE,"excessiveExercise"
93,"My heart was racing or pounding.",FALSE,"panic"
94,"My mind was flooded with troubling images of a bad experience.",FALSE,"traumaReactions"
95,"I deserved special treatment.",FALSE,"entitlement"
96,"I missed appointments because I forgot about them.",FALSE,"disorganization"
97,"People would describe me as a risk-taker.",FALSE,"riskTaking"
98,"I turned down social invitations so that I could spend more time gaming.",FALSE,"gaming"
99,"I was troubled by unexplained seizures or convulsions.",FALSE,"conversionSymptoms"
100,"I felt hopeless about the future.",FALSE,"distressDysphoria"
101,"I tried to eat fewer snacks.",FALSE,"dietaryRestraint"
102,"I was afraid of spiders.",FALSE,"specificPhobiaIndex"
103,"Taking risks made me feel alive.",FALSE,"riskTaking"
104,"I enjoyed rebelling against authority figures (e.g., police, teachers, bosses).",FALSE,"oppositionality"
105,"I found it difficult to throw things away.",FALSE,"hoarding"
106,"Minor frustrations really upset me.",FALSE,"emotionality"
107,"I said unusual things.",FALSE,"eccentricity"
108,"I tried to eat only healthy foods.",FALSE,"dietaryRestraint"
109,"I was afraid of getting trapped in a crowd.",FALSE,"agoraphobia"
110,"I had a nagging doubt that I'd failed to do something important.",FALSE,"checking"
111,"I got angry about small things.",FALSE,"emotionality"
112,"People told me that I work too much.",FALSE,"workaholism"
113,"I had periods of unexplained deafness.",FALSE,"conversionSymptoms"
114,"During sex, I consciously tried to delay orgasm so I could last longer.",FALSE,"prematureOrgasm"
115,"I felt something was wrong with my body.",FALSE,"bodilyDistress"
116,"I could control things with my mind.",FALSE,"realityDistortion"
117,"I was watchful for danger.",FALSE,"hypervigilance"
118,"I felt like I would be unable to breathe in a small, tight, or enclosed space.",FALSE,"agoraphobia"
119,"I didn't pay much attention to social standards of behavior.",FALSE,"oppositionality"
120,"I found sexual activity with someone unconscious (e.g., asleep or passed out from alcohol or a drug) sexually arousing.",FALSE,"paraphilias"
121,"I collected things I did not need.",FALSE,"hoarding"
122,"I had a hard time asserting myself to others.",FALSE,"submissiveness"
123,"People told me that I do not show emotions.",FALSE,"restrictedAffectivity"
124,"I reached orgasm later than I wanted to.",FALSE,"difficultiesReachingOrgasm"
