"Scale","Brief"
"Agoraphobia","Fear and avoidance of situations where escape may be difficult"
"Antisocial Behavior","Behavior that goes against social norms and could harm others or society"
"Appetite Loss","Decreased appetite and food interest that may cause sudden and unintended weight loss"
"Binge Eating","Eating unusually large amounts of food in a short period of time, with little control over stopping"
"Bodily Distress","Physical symptoms like pain, weakness, or stomach issues without a clear medical cause"
"Body Dissatisfaction","Persistent dissatisfaction with one's body shape, physical attractiveness, or perceived imperfections"
"Body Focus","Excessive focus on appearance, with frequent checking, grooming, and concern about looks"
"Callousness","Disregard for others' feelings and needs with little sympathy or concern"
"Checking","Repetitive urges to check tasks, driven by doubt about whether they were done or done correctly"
"Cleaning","Fear of dirt and germs, leading to excessive washing, cleaning, or avoiding contact with people or objects"
"Cognitive Problems","Difficulty concentrating, remembering, or thinking clearly, with frequent distraction or racing thoughts"
"Conversion Symptoms","Neurological symptoms such as sensory loss or motor abnormalities without medical explanation"
"Counting","Repeated counting of objects or actions, often linked to beliefs or superstitions about numbers"
"Dietary Restraint","Preoccupation with healthy eating that results in strict food rules and restriction"
"Difficulties Reaching Orgasm","Trouble reaching satisfying sexual climax, even with arousal and proper stimulation"
"Disease Conviction","Persistent belief in having serious health problems despite medical reassurance to the contrary"
"Dishonesty","A tendency to mislead or exploit others through deceit and manipulation"
"Disorganization","Difficulty staying organized, keeping track of items, and maintaining orderly spaces or schedules"
"Dissociation","Experiences of feeling detached from self, memories, or surroundings, sometimes replaced by fantasies or trance states"
"Distress-Dysphoria","Proneness to a wide range of negative feelings and emotional distress"
"Domineering","A tendency to dominate interactions, asserting control and power over others"
"Eccentricity","Strange or unpredictable behavior, appearance, or speech, often marked by unusual thoughts"
"Emotionality","General tendency to feel intense, irritable, or hostile emotions that can shift quickly"
"Entitlement","Feeling superior and entitled to special privileges, marked by self-centered focus"
"Excessive Exercise","A tendency to engage in exercise at levels that disrupt daily functioning or result in physical injury"
"Excoriation","Repetitive skin picking that causes harm or visible marks and interferes with daily life"
"Exhibitionism","Strong desire to be the center of attention and behaving in ways to attract or impress others"
"Fantasy Proneness","Immersion in fantasy, daydreams, or inner thoughts that can distract from reality"
"Food Selectivity","Picky eating marked by disgust and avoidance of foods with disliked appearances or qualities"
"Gambling","Persistent gambling that is difficult to control, continuing despite negative consequences"
"Gaming","Excessive gaming that interferes with functioning, causes distress when reduced, and is difficult to control"
"Grandiosity","Feeling overly powerful or special, with unrealistic optimism and inflated self-confidence"
"Health Anxiety","Persistent anxiety about health, with excessive worry and searching for signs of illness"
"Hoarding","Difficulty letting go of possessions, leading to clutter and compulsive acquiring of new items"
"Hyperdeliberation","Tendency to overanalyze decisions before acting, even when it leads to problems"
"Hypervigilance","Posttraumatic reactions of being overly alert and jumpy, staying on guard for danger and startling easily"
"Insomnia","Difficulty sleeping well, with trouble falling asleep, staying asleep, or waking too early"
"Low Sexual Arousal","Problems with sexual arousal, from not feeling ""turned on"" to difficulty sustaining physical response"
"Low Sexual Interest","Low sexual desire, marked by diminished interest in sexual activity"
"Manic Energy","Periods of extremely high mood and energy, with seemingly little need for sleep"
"Mistrust","General tendency to doubt others, marked by suspicion and cynicism"
"Muscle Building","Concern with appearing muscular, often driving intense exercise and supplement use"
"Nightmares","Nightmares and disturbing dreams that occur often and disrupt daytime well-being"
"Non-persistence","Difficulty staying focused on long-term goals or maintaining effort in challenging tasks"
"Non-planfulness","Tendency to act quickly without planning or considering possible negative consequences"
"Non-suicidal Self-injury","Deliberate harming of one's body (cutting, burning, scratching) that isn't meant to cause death"
"Oppositionality","Tendency to be argumentative, defiant, and resistant to authority figures"
"Panic","Intense physical anxiety symptoms like racing heart or dizziness, with fears of serious harm or death"
"Paraphilias","Sexual arousal in unusual or non-consensual contexts, such as exposing oneself or spying on others"
"Perfectionism","Tendency to demand flawless results, leading to delays, overwork, and difficulty finishing tasks"
"Premature Orgasm","Lack of control over sexual climax, with orgasm occurring sooner than intended"
"Problematic Shopping","Compulsive shopping with a strong urge to buy and difficulty controlling the desire for new things"
"Purging","Using vomiting, medications, or supplements to control or force weight loss"
"Reality Distortion","Tendency to hold unusual beliefs or have perceptions that differ from commonly shared reality"
"Restlessness","Feeling unsettled and restless, with fidgeting or difficulty sitting still"
"Restricted Affectivity","Limited expression and experience of emotions, including joy, warmth, and closeness with others"
"Restricted Eating","Eating less than is typical, such as intentionally skipping meals or limiting portions"
"Rigidity","Stubborn adherence to certain approaches, even when ineffective, and rigid moral or principled beliefs"
"Risk Aversion","Strong tendency to avoid risks and shy away from excitement or stimulation"
"Risk Taking","Tendency to pursue excitement and pleasure, often through risky or reckless behavior"
"Risky Sex","Engaging in sexual acts compulsively or in ways that increase health and pregnancy risks"
"Romantic Disinterest","Low interest, desire, or pleasure in romance and intimate connections with others"
"Sex-Related Substance Use","Using substances to boost sexual performance, attraction, or to reduce negative emotions during sex"
"Sexual Distress","Strong negative emotions in response to perceived sexual problems or difficulties"
"Sexual Pain","Pain or discomfort in the genitals during or following sexual activity"
